Date,JPM_Open,JPM_High,JPM_Low,JPM_Close,JPM_Volume,SPY_Close,DIA_Close
2019-12-30,139.89999389648438,140.0800018310547,138.47000122070312,138.6300048828125,6963000,321.0799865722656,284.5299987792969
2019-12-31,138.50999450683594,139.47999572753906,138.2899932861328,139.39999389648438,7201600,321.8599853515625,285.1000061035156
2020-01-02,139.7899932861328,141.10000610351562,139.25999450683594,141.08999633789062,10803700,324.8699951171875,288.6199951171875
2020-01-03,137.5,139.22999572753906,137.0800018310547,138.33999633789062,10386800,322.4100036621094,286.32000732421875
2020-01-06,136.55999755859375,138.27000427246094,136.5,138.22999572753906,10259000,323.6400146484375,286.9800109863281
2020-01-07,137.27999877929688,137.86000061035156,135.82000732421875,135.8800048828125,10531300,322.7300109863281,285.739990234375
2020-01-08,135.6999969482422,137.5800018310547,135.60000610351562,136.94000244140625,9695300,324.45001220703125,287.3999938964844
2020-01-09,138.0500030517578,138.22999572753906,137.0399932861328,137.44000244140625,9469000,326.6499938964844,289.55999755859375
2020-01-10,137.2100067138672,137.25,135.80999755859375,136.07000732421875,10190900,325.7099914550781,288.239990234375
2020-01-13,136.19000244140625,137.1999969482422,135.75999450683594,137.1999969482422,12355200,327.95001220703125,289.0199890136719
2020-01-14,137.94000244140625,140.75999450683594,137.69000244140625,138.8000030517578,24906000,327.45001220703125,289.2200012207031
2020-01-15,137.85000610351562,138.60000610351562,136.14999389648438,136.72000122070312,16293400,328.19000244140625,290.3500061035156
2020-01-16,137.4499969482422,137.89999389648438,136.83999633789062,137.25,10783800,330.9200134277344,292.92999267578125
2020-01-17,137.5399932861328,138.2899932861328,137.32000732421875,138.1999969482422,14697700,331.95001220703125,293.2699890136719
2020-01-21,137.19000244140625,138.07000732421875,136.69000244140625,136.83999633789062,8474200,331.29998779296875,291.8299865722656
2020-01-22,137.24000549316406,137.39999389648438,136.3800048828125,136.67999267578125,7549100,331.3399963378906,291.80999755859375
2020-01-23,135.7100067138672,136.74000549316406,134.72000122070312,136.5399932861328,9345700,331.7200012207031,291.5400085449219
2020-01-24,136.3699951171875,136.42999267578125,132.32000732421875,133.14999389648438,15166400,328.7699890136719,289.79998779296875
2020-01-27,130.27000427246094,132.94000244140625,129.7100067138672,132.02999877929688,12860500,323.5,285.3599853515625
2020-01-28,132.83999633789062,134.97000122070312,132.47999572753906,134.42999267578125,13062800,326.8900146484375,287.2900085449219
2020-01-29,134.80999755859375,135.5399932861328,133.69000244140625,134.22999572753906,9326000,326.6199951171875,287.2900085449219
2020-01-30,132.69000244140625,136.1300048828125,132.69000244140625,135.88999938964844,9048900,327.67999267578125,288.5400085449219
2020-01-31,134.49000549316406,134.8300018310547,131.47000122070312,132.36000061035156,12785200,321.7300109863281,282.4200134277344
2020-02-03,132.66000366210938,134.24000549316406,132.66000366210938,133.3699951171875,10021100,324.1199951171875,283.9800109863281
2020-02-04,135.5500030517578,136.60000610351562,135.0800018310547,135.2899932861328,9157100,329.05999755859375,288.0400085449219
2020-02-05,136.57000732421875,137.72999572753906,136.00999450683594,137.58999633789062,10150700,332.8599853515625,292.8599853515625
